"id","accuracy","auc","precision","recall","f1","layers"
"333","0.985714285714286","0.969047619047619","0.982213438735178","1","1","11-4-1"
"334","0.985714285714286","0.973333333333333","0.980778032036613","1","1","11-4-2"
"335","0.992857142857143","0.983333333333333","0.991304347826087","1","1","11-4-3"
"336","1","1","1","1","1","11-4-4"
"337","1","1","1","1","1","11-5-1"
"338","0.992857142857143","0.995238095238095","1","0.990476190476191","1","11-5-2"
"339","0.992857142857143","0.988888888888889","0.99","1","1","11-5-3"
"340","0.985714285714286","0.970833333333333","0.981780538302277","1","1","11-5-4"
"341","0.978571428571429","0.938888888888889","0.974615384615385","1","1","11-6-1"
"342","0.992857142857143","0.99","0.989473684210526","1","1","11-6-2"
"343","1","1","1","1","1","11-6-3"
"344","0.978571428571429","0.965714285714286","0.970909090909091","1","1","11-6-4"
"345","1","1","1","1","1","11-7-1"
"346","0.985714285714286","0.966666666666667","0.983333333333333","1","1","11-7-2"
"347","1","1","1","1","1","11-7-3"
"348","0.985714285714286","0.971428571428572","0.982608695652174","1","1","11-7-4"
"349","0.978571428571429","0.955","0.973484848484848","1","1","11-8-1"
"350","1","1","1","1","1","11-8-2"
"351","0.978571428571429","0.952380952380952","0.973517786561265","1","1","11-8-3"
"352","0.978571428571428","0.97","0.971428571428572","1","1","11-8-4"
"353","0.95","0.913747412008282","0.955660643704122","0.981780538302277","1","12-1-1"
"354","0.985714285714286","0.9625","0.982476190476191","1","1","12-1-2"
"355","0.978571428571429","0.935714285714286","0.97452113104287","1","1","12-1-3"
"356","0.964285714285714","0.878888888888889","0.958045112781955","1","0.933333333333333","12-1-4"
"357","0.971428571428572","0.952002164502165","0.972689629211368","0.990909090909091","1","12-2-1"
"358","0.957142857142857","0.885714285714286","0.955194805194805","1","0.933333333333333","12-2-2"
"359","0.985714285714286","0.975","0.981818181818182","1","1","12-2-3"
"360","1","1","1","1","1","12-2-4"
"361","0.992857142857143","0.975","0.992","1","1","12-3-1"
"362","0.985714285714286","0.96","0.984","1","1","12-3-2"
"363","0.985714285714286","0.969047619047619","0.982213438735178","1","1","12-3-3"
"364","0.985714285714286","0.9675","0.982142857142857","1","1","12-3-4"
"365","0.992857142857143","0.985714285714286","0.990909090909091","1","1","12-4-1"
"366","1","1","1","1","1","12-4-2"
"367","0.992857142857143","0.985714285714286","0.990909090909091","1","1","12-4-3"
"368","1","1","1","1","1","12-4-4"
"369","0.964285714285714","0.945833333333333","0.963636363636364","0.991666666666667","1","12-5-1"
"370","0.978571428571429","0.949166666666667","0.982783882783883","0.99","1","12-5-2"
"371","0.992857142857143","0.98","0.991666666666667","1","1","12-5-3"
"372","1","1","1","1","1","12-5-4"
"373","0.992857142857143","0.9875","0.990476190476191","1","1","12-6-1"
"374","0.992857142857143","0.988888888888889","0.99","1","1","12-6-2"
"375","1","1","1","1","1","12-6-3"
"376","0.992857142857143","0.985714285714286","0.990909090909091","1","1","12-6-4"
"377","0.978571428571429","0.954166666666667","0.973809523809524","1","1","12-7-1"
"378","0.985714285714286","0.966666666666667","0.982608695652174","1","1","12-7-2"
"379","1","1","1","1","1","12-7-3"
"380","1","1","1","1","1","12-7-4"
"381","0.992857142857143","0.966666666666667","0.992307692307692","1","1","12-8-1"
"382","1","1","1","1","1","12-8-2"
"383","0.992857142857143","0.985714285714286","0.990909090909091","1","1","12-8-3"
"384","1","1","1","1","1","12-8-4"
"385","0.971428571428572","0.955952380952381","0.972727272727273","0.990476190476191","1","13-1-1"
"386","0.985714285714286","0.96","0.983333333333333","1","1","13-1-2"
"387","0.978571428571429","0.961904761904762","0.982608695652174","0.990476190476191","1","13-1-3"
"388","0.978571428571429","0.976623376623377","0.990909090909091","0.981818181818182","1","13-1-4"
"389","0.978571428571428","0.945833333333333","0.984615384615385","0.991666666666667","1","13-2-1"
"390","0.985714285714286","0.978888888888889","0.979473684210526","1","1","13-2-2"
"391","0.992857142857143","0.966666666666667","0.992307692307692","1","1","13-2-3"
"392","0.992857142857143","0.9875","0.990476190476191","1","1","13-2-4"
"393","0.978571428571428","0.954761904761905","0.973913043478261","1","1","13-3-1"
"394","1","1","1","1","1","13-3-2"
"395","0.992857142857143","0.985714285714286","0.990909090909091","1","1","13-3-3"
"396","1","1","1","1","1","13-3-4"
"397","0.992857142857143","0.990909090909091","0.988888888888889","1","1","13-4-1"
"398","0.985714285714286","0.977777777777778","0.980952380952381","1","1","13-4-2"
"399","0.992857142857143","0.983333333333333","0.991304347826087","1","1","13-4-3"
"400","0.985714285714286","0.9675","0.982142857142857","1","1","13-4-4"
"401","0.985714285714286","0.966666666666667","0.983333333333333","1","1","13-5-1"
"402","0.985714285714286","0.969047619047619","0.982213438735178","1","1","13-5-2"
"403","0.978571428571428","0.966883116883117","0.982608695652174","0.990909090909091","1","13-5-3"
"404","0.985714285714286","0.981818181818182","0.978947368421053","1","1","13-5-4"
"405","0.978571428571428","0.965","0.971291866028708","1","1","13-6-1"
"406","0.992857142857143","0.99","0.989473684210526","1","1","13-6-2"
"407","0.978571428571429","0.95","0.973818181818182","1","1","13-6-3"
"408","0.985714285714286","0.970833333333333","0.981780538302277","1","1","13-6-4"
"409","0.985714285714286","0.978409090909091","0.979365079365079","1","1","13-7-1"
"410","0.978571428571428","0.95","0.976","1","1","13-7-2"
"411","1","1","1","1","1","13-7-3"
"412","0.992857142857143","0.995454545454545","1","0.990909090909091","1","13-7-4"
